acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-1989,-49,3256,-596,-101,-108,,2025-02-12 12:08:30.715911
-1974,-47,3215,-572,-119,-138,,2025-02-12 12:08:30.744444
-1972,-82,3231,-581,-106,-133,,2025-02-12 12:08:30.746769
-1975,-59,3226,-574,-66,-144,,2025-02-12 12:08:30.803082
-1955,-59,3271,-603,8,-118,,2025-02-12 12:08:30.804795
-1984,-60,3253,-596,-22,-132,,2025-02-12 12:08:30.805729
-1977,-38,3290,-614,-74,-101,,2025-02-12 12:08:30.806959
-1957,-56,3251,-610,-52,-84,,2025-02-12 12:08:30.846379
-1968,-35,3231,-618,-27,-86,,2025-02-12 12:08:30.848484
-1977,-76,3277,-596,31,-89,,2025-02-12 12:08:30.856111
-1954,-65,3222,-578,64,-111,,2025-02-12 12:08:30.871628
-1961,-49,3254,-574,68,-102,,2025-02-12 12:08:30.895725
-1941,-68,3245,-551,109,-87,,2025-02-12 12:08:30.908211
-1951,-81,3235,-544,147,-94,,2025-02-12 12:08:30.922561
-1973,-82,3215,-562,174,-86,,2025-02-12 12:08:30.960429
-1945,-66,3279,-543,151,-94,,2025-02-12 12:08:30.962210
-1975,-73,3257,-560,104,-90,,2025-02-12 12:08:30.973186
-1957,-70,3231,-599,28,-84,,2025-02-12 12:08:30.995020
-1966,-92,3262,-580,-6,-63,,2025-02-12 12:08:31.014500
-1967,-73,3235,-577,-10,-75,,2025-02-12 12:08:31.031551
-1975,-52,3198,-559,-8,-97,,2025-02-12 12:08:31.048274
-1974,-70,3269,-507,-31,-113,,2025-02-12 12:08:31.075411
-1995,-79,3234,-531,-46,-113,,2025-02-12 12:08:31.086261
-1997,-85,3259,-513,-41,-101,,2025-02-12 12:08:31.095852
-1962,-54,3278,-554,2,-61,,2025-02-12 12:08:31.115204
-1945,-75,3279,-602,72,-71,,2025-02-12 12:08:31.135558
-1928,-75,3311,-635,148,-47,,2025-02-12 12:08:31.148126
-1955,-59,3283,-657,236,-82,,2025-02-12 12:08:31.162982
-1980,-50,3242,-627,181,-106,,2025-02-12 12:08:31.195589
-1988,-38,3221,-628,53,-90,,2025-02-12 12:08:31.199354
-1958,-20,3237,-648,-27,-102,,2025-02-12 12:08:31.213491
-1951,-13,3265,-633,-74,-95,,2025-02-12 12:08:31.231264
-1954,-47,3193,-656,-133,-129,,2025-02-12 12:08:31.255157
-1965,-52,3238,-656,-168,-145,,2025-02-12 12:08:31.266545
-1939,-40,3271,-648,-90,-158,,2025-02-12 12:08:31.284240
-1925,-88,3283,-620,0,-132,,2025-02-12 12:08:31.315606
-1939,-39,3292,-666,70,-127,,2025-02-12 12:08:31.317693
-1972,-60,3222,-671,77,-146,,2025-02-12 12:08:31.330792
-2006,-41,3232,-667,-91,-177,,2025-02-12 12:08:31.367342
-2018,-46,3212,-630,-258,-213,,2025-02-12 12:08:31.369346
-2005,-61,3192,-598,-447,-224,,2025-02-12 12:08:31.379044
-1977,-39,3236,-642,-590,-199,,2025-02-12 12:08:31.422052
-1995,-63,3237,-654,-768,-155,,2025-02-12 12:08:31.430705
-1985,-80,3250,-678,-989,-138,,2025-02-12 12:08:31.433277
-1982,-54,3280,-690,-1244,-144,,2025-02-12 12:08:31.448075
-1944,-63,3272,-640,-1311,-172,,2025-02-12 12:08:31.514576
-1923,-99,3274,-595,-1212,-171,,2025-02-12 12:08:31.516920
-1874,-116,3319,-537,-1141,-157,,2025-02-12 12:08:31.519348
-1850,-97,3325,-511,-929,-167,,2025-02-12 12:08:31.520424
-1857,-80,3375,-539,-830,-108,,2025-02-12 12:08:31.539895
-1874,-84,3323,-518,-976,-133,,2025-02-12 12:08:31.550092
-1851,-75,3283,-508,-1309,-127,,2025-02-12 12:08:31.564143
-1836,-97,3286,-597,-1368,-134,,2025-02-12 12:08:31.613977
-1797,-83,3321,-634,-1204,-137,,2025-02-12 12:08:31.616032
-1769,-93,3350,-689,-878,-167,,2025-02-12 12:08:31.617048
-1743,-57,3412,-765,-555,-112,,2025-02-12 12:08:31.626172
-1777,-71,3416,-841,-259,-135,,2025-02-12 12:08:31.642423
-1815,-84,3399,-807,-112,-162,,2025-02-12 12:08:31.669502
-1815,-79,3465,-796,-91,-226,,2025-02-12 12:08:31.678827
-1790,-55,3405,-856,-187,-290,,2025-02-12 12:08:31.694499
-1781,-48,3337,-858,-193,-289,,2025-02-12 12:08:31.733773
-1793,-31,3288,-848,-262,-188,,2025-02-12 12:08:31.743099
-1826,-28,3221,-808,-366,-86,,2025-02-12 12:08:31.745356
-1783,-37,3271,-677,-441,2,,2025-02-12 12:08:31.761459
-1775,-70,3309,-538,-429,70,,2025-02-12 12:08:31.776616
-1743,-75,3322,-367,-338,38,,2025-02-12 12:08:31.793297
-1749,-74,3328,-232,-153,-36,,2025-02-12 12:08:31.812949
-1747,-86,3369,-153,-93,-130,,2025-02-12 12:08:31.825980
-1850,-80,3445,-244,-182,-233,,2025-02-12 12:08:31.852882
-1829,-68,3485,-394,-349,-260,,2025-02-12 12:08:31.860297
-1791,-59,3476,-612,-538,-186,,2025-02-12 12:08:31.877163
-1777,-97,3448,-816,-708,-124,,2025-02-12 12:08:31.891910
-1751,-117,3410,-872,-875,-29,,2025-02-12 12:08:31.916075
-1720,-94,3363,-882,-802,-35,,2025-02-12 12:08:31.926469
-1726,-90,3300,-792,-718,-87,,2025-02-12 12:08:31.946681
-1709,-96,3314,-719,-598,-148,,2025-02-12 12:08:31.980748
-1719,-90,3287,-591,-495,-140,,2025-02-12 12:08:31.983525
-1722,-70,3321,-471,-362,-129,,2025-02-12 12:08:31.992412
-1761,-43,3402,-365,-417,-139,,2025-02-12 12:08:32.013154
-1768,-43,3416,-338,-544,-146,,2025-02-12 12:08:32.033887
-1779,-34,3478,-375,-698,-162,,2025-02-12 12:08:32.047790
-1724,-73,3460,-421,-767,-162,,2025-02-12 12:08:32.058076
-1661,-62,3465,-465,-610,-178,,2025-02-12 12:08:32.094486
-1642,-51,3448,-556,-446,-149,,2025-02-12 12:08:32.098264
-1641,-73,3394,-599,-382,-139,,2025-02-12 12:08:32.107654
-1675,-58,3412,-623,-453,-117,,2025-02-12 12:08:32.126016
-1646,-40,3413,-641,-602,-82,,2025-02-12 12:08:32.148455
-1673,-71,3435,-617,-702,-76,,2025-02-12 12:08:32.164687
-1637,-49,3455,-596,-732,-77,,2025-02-12 12:08:32.182433
-1636,-60,3397,-591,-730,-115,,2025-02-12 12:08:32.209077
-1614,-87,3438,-539,-592,-149,,2025-02-12 12:08:32.232390
-1638,-45,3435,-510,-472,-151,,2025-02-12 12:08:32.234512
-1618,-80,3406,-507,-377,-121,,2025-02-12 12:08:32.245820
-1626,-58,3432,-528,-200,-125,,2025-02-12 12:08:32.277007
-1625,-44,3470,-587,-19,-105,,2025-02-12 12:08:32.279130
-1626,-66,3465,-595,110,-128,,2025-02-12 12:08:32.294326
-1621,-24,3503,-624,220,-127,,2025-02-12 12:08:32.313779
-1604,-78,3499,-609,335,-144,,2025-02-12 12:08:32.339074
-1572,-95,3472,-613,617,-156,,2025-02-12 12:08:32.346866
-1548,-53,3520,-630,953,-162,,2025-02-12 12:08:32.364207
-1601,-62,3551,-621,1303,-161,,2025-02-12 12:08:32.393452
-1606,-43,3543,-612,1634,-189,,2025-02-12 12:08:32.397261
-1642,-59,3517,-590,1854,-188,,2025-02-12 12:08:32.418063
-1650,-71,3483,-547,1855,-234,,2025-02-12 12:08:32.430969
-1676,-49,3411,-442,1781,-305,,2025-02-12 12:08:32.456364
-1716,-35,3360,-385,1906,-383,,2025-02-12 12:08:32.469584
-1725,-59,3323,-390,2135,-400,,2025-02-12 12:08:32.483704
