acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-3435,-207,1014,-1795,-637,257,,2025-02-12 12:06:31.530148
-3398,-272,833,-1246,-77,154,,2025-02-12 12:06:31.565689
-3418,-183,782,-744,724,245,,2025-02-12 12:06:31.567607
-3526,-70,849,-332,1274,350,,2025-02-12 12:06:31.578474
-3825,55,968,37,1060,483,,2025-02-12 12:06:31.597509
-3962,110,1041,262,214,443,,2025-02-12 12:06:31.624318
-3957,150,986,398,-656,290,,2025-02-12 12:06:31.634285
-3755,256,975,486,-981,116,,2025-02-12 12:06:31.643933
-3517,364,996,363,-633,4,,2025-02-12 12:06:31.686321
-3460,478,981,213,-175,-8,,2025-02-12 12:06:31.687868
-3433,491,1063,-36,369,28,,2025-02-12 12:06:31.698815
-3554,473,980,-192,864,136,,2025-02-12 12:06:31.713941
-3743,379,1000,-409,972,165,,2025-02-12 12:06:31.739213
-3801,327,925,-596,665,213,,2025-02-12 12:06:31.750337
-3776,297,826,-871,378,186,,2025-02-12 12:06:31.773617
-3664,266,857,-998,395,206,,2025-02-12 12:06:31.776601
-3595,274,906,-1056,839,225,,2025-02-12 12:06:31.810651
-3649,317,938,-1149,1084,252,,2025-02-12 12:06:31.811647
-3729,326,979,-1261,911,239,,2025-02-12 12:06:31.825039
-3765,283,953,-1421,314,304,,2025-02-12 12:06:31.838739
-3706,265,846,-1430,130,336,,2025-02-12 12:06:31.864521
-3694,221,854,-1393,380,254,,2025-02-12 12:06:31.876465
-3681,214,840,-1327,602,132,,2025-02-12 12:06:31.896695
-3671,159,841,-1222,740,42,,2025-02-12 12:06:31.923884
-3710,111,858,-1081,862,-30,,2025-02-12 12:06:31.929658
-3746,70,910,-974,850,-40,,2025-02-12 12:06:31.945864
-3809,47,818,-784,605,-65,,2025-02-12 12:06:31.980929
-3790,76,782,-506,451,-120,,2025-02-12 12:06:31.983081
-3766,83,735,-313,392,-226,,2025-02-12 12:06:31.993118
-3740,118,775,-154,345,-322,,2025-02-12 12:06:32.010732
-3686,79,800,-26,490,-370,,2025-02-12 12:06:32.033440
-3705,101,830,20,544,-391,,2025-02-12 12:06:32.048134
-3685,123,844,71,542,-407,,2025-02-12 12:06:32.064144
-3688,167,854,101,471,-417,,2025-02-12 12:06:32.093514
-3679,209,833,103,446,-409,,2025-02-12 12:06:32.095489
-3669,236,875,3,503,-370,,2025-02-12 12:06:32.113913
-3696,272,862,-133,461,-249,,2025-02-12 12:06:32.154371
-3717,263,851,-246,421,-217,,2025-02-12 12:06:32.163237
-3746,225,830,-298,296,-184,,2025-02-12 12:06:32.165375
-3753,218,803,-367,148,-180,,2025-02-12 12:06:32.186478
-3716,242,856,-425,71,-138,,2025-02-12 12:06:32.192511
-3708,237,844,-484,113,-155,,2025-02-12 12:06:32.226584
-3667,265,875,-539,191,-120,,2025-02-12 12:06:32.229043
-3674,234,884,-617,80,-143,,2025-02-12 12:06:32.245972
-3653,170,893,-623,18,-128,,2025-02-12 12:06:32.259095
-3651,183,887,-646,95,-57,,2025-02-12 12:06:32.278460
-3618,164,940,-695,266,32,,2025-02-12 12:06:32.294583
-3702,142,941,-741,435,65,,2025-02-12 12:06:32.310090
-3764,163,890,-715,354,8,,2025-02-12 12:06:32.349362
-3821,205,840,-648,208,-7,,2025-02-12 12:06:32.350435
-3786,195,820,-605,44,-42,,2025-02-12 12:06:32.359096
-3707,235,850,-564,-32,-13,,2025-02-12 12:06:32.377041
-3712,206,903,-579,-43,-7,,2025-02-12 12:06:32.402217
-3670,221,917,-663,-102,-22,,2025-02-12 12:06:32.427631
-3709,204,939,-755,-164,-30,,2025-02-12 12:06:32.428669
-3712,223,926,-818,-289,-34,,2025-02-12 12:06:32.458103
-3703,193,935,-897,-329,-6,,2025-02-12 12:06:32.462214
-3674,214,908,-959,-217,24,,2025-02-12 12:06:32.474354
-3702,201,922,-984,-81,60,,2025-02-12 12:06:32.490557
-3741,176,912,-1044,-135,106,,2025-02-12 12:06:32.526964
-3730,181,898,-1102,-277,135,,2025-02-12 12:06:32.529757
-3674,211,944,-1155,-319,168,,2025-02-12 12:06:32.543474
-3661,212,941,-1172,-164,109,,2025-02-12 12:06:32.557784
-3674,197,944,-1190,42,-3,,2025-02-12 12:06:32.580593
-3664,171,922,-1216,139,-76,,2025-02-12 12:06:32.592172
-3602,103,924,-1208,254,-120,,2025-02-12 12:06:32.612458
-3660,121,896,-1152,354,-73,,2025-02-12 12:06:32.642341
-3691,109,893,-1095,301,-25,,2025-02-12 12:06:32.644402
-3736,44,816,-973,185,-4,,2025-02-12 12:06:32.656574
-3756,19,843,-821,47,-63,,2025-02-12 12:06:32.673083
-3737,15,800,-693,-13,-98,,2025-02-12 12:06:32.697898
-3726,16,799,-537,58,-172,,2025-02-12 12:06:32.707329
-3755,69,792,-301,112,-206,,2025-02-12 12:06:32.724166
-3760,91,840,-93,83,-314,,2025-02-12 12:06:32.738764
-3752,60,804,149,-110,-375,,2025-02-12 12:06:32.764919
-3748,50,835,315,-191,-515,,2025-02-12 12:06:32.774966
-3695,49,885,403,-197,-543,,2025-02-12 12:06:32.789031
-3709,70,908,451,-131,-532,,2025-02-12 12:06:32.821839
-3684,123,945,471,-118,-503,,2025-02-12 12:06:32.822857
-3686,148,934,443,-148,-472,,2025-02-12 12:06:32.838633
-3654,160,914,446,-99,-479,,2025-02-12 12:06:32.857303
-3639,159,908,456,119,-524,,2025-02-12 12:06:32.873399
-3644,180,929,407,289,-557,,2025-02-12 12:06:32.889467
-3674,211,900,316,325,-556,,2025-02-12 12:06:32.905150
-3676,195,934,210,226,-476,,2025-02-12 12:06:32.939330
-3712,198,944,104,161,-416,,2025-02-12 12:06:32.943035
-3681,210,929,18,136,-398,,2025-02-12 12:06:32.953918
-3660,237,955,-75,77,-380,,2025-02-12 12:06:32.971880
-3681,249,957,-154,136,-362,,2025-02-12 12:06:33.010581
-3709,262,923,-249,112,-305,,2025-02-12 12:06:33.011218
-3730,245,885,-340,-14,-280,,2025-02-12 12:06:33.022076
-3745,260,904,-499,-140,-200,,2025-02-12 12:06:33.033953
-3696,239,923,-662,-175,-125,,2025-02-12 12:06:33.067159
-3698,219,933,-826,-136,-65,,2025-02-12 12:06:33.090242
-3695,179,950,-887,-161,-10,,2025-02-12 12:06:33.091208
-3660,172,974,-909,-129,49,,2025-02-12 12:06:33.100202
-3667,176,951,-946,-2,104,,2025-02-12 12:06:33.124823
-3695,159,945,-969,126,101,,2025-02-12 12:06:33.135459
-3713,175,892,-991,179,40,,2025-02-12 12:06:33.152036
-3687,135,886,-947,130,0,,2025-02-12 12:06:33.185488
-3682,129,861,-919,139,-2,,2025-02-12 12:06:33.189071
-3682,141,901,-865,103,-11,,2025-02-12 12:06:33.203086
-3664,108,923,-801,189,3,,2025-02-12 12:06:33.222441
-3680,79,891,-684,380,-9,,2025-02-12 12:06:33.244545
-3702,83,917,-586,393,-50,,2025-02-12 12:06:33.258879
-3732,107,908,-533,327,-104,,2025-02-12 12:06:33.273193
-3726,132,881,-513,304,-138,,2025-02-12 12:06:33.309662
-3708,133,868,-569,319,-89,,2025-02-12 12:06:33.312647
-3686,174,908,-576,302,-64,,2025-02-12 12:06:33.321333
-3696,189,938,-633,276,-62,,2025-02-12 12:06:33.374470
-3744,178,953,-654,144,-60,,2025-02-12 12:06:33.381982
-3733,207,941,-686,-6,-39,,2025-02-12 12:06:33.384871
-3708,243,929,-739,-66,-30,,2025-02-12 12:06:33.386246
-3678,248,919,-844,105,24,,2025-02-12 12:06:33.403006
-3692,214,963,-901,253,48,,2025-02-12 12:06:33.425007
-3723,163,969,-996,230,14,,2025-02-12 12:06:33.439622
-3651,176,930,-986,96,40,,2025-02-12 12:06:33.460386
-3648,180,894,-991,227,3,,2025-02-12 12:06:33.485012
-3649,186,915,-985,379,61,,2025-02-12 12:06:33.499329
-3688,178,900,-969,363,75,,2025-02-12 12:06:33.505724
-3693,139,860,-962,291,36,,2025-02-12 12:06:33.524096
-3684,124,879,-970,273,3,,2025-02-12 12:06:33.548030
-3737,130,871,-979,305,22,,2025-02-12 12:06:33.560581
-3771,121,880,-935,257,18,,2025-02-12 12:06:33.572929
-3732,122,828,-899,126,1,,2025-02-12 12:06:33.590261
