acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-2713,393,2722,-746,244,-277,,2025-02-12 12:18:47.038442
-2708,416,2751,-978,-50,-316,,2025-02-12 12:18:47.041474
-2789,100,2409,-981,673,-395,,2025-02-12 12:18:47.043044
-2947,292,2644,-648,-409,118,,2025-02-12 12:18:47.054974
-2718,263,2689,-693,-459,-5,,2025-02-12 12:18:47.069490
-2496,324,2602,-670,363,-272,,2025-02-12 12:18:47.085398
-2642,254,2639,-562,106,-132,,2025-02-12 12:18:47.110297
-1513,283,2830,-579,2503,-554,,2025-02-12 12:18:47.124549
-3231,309,2689,-525,-689,374,,2025-02-12 12:18:47.171737
-2675,267,2739,-795,-456,36,,2025-02-12 12:18:47.179029
-2451,190,2602,-951,412,-372,,2025-02-12 12:18:47.180404
-2264,177,2639,-901,1328,-500,,2025-02-12 12:18:47.182945
-2851,217,2644,-963,674,-42,,2025-02-12 12:18:47.199257
-2795,219,2599,-812,770,-216,,2025-02-12 12:18:47.217923
-2212,-52,2369,-313,2896,-906,,2025-02-12 12:18:47.237877
-2954,377,2647,-367,892,-382,,2025-02-12 12:18:47.273962
-2947,106,2590,-238,-32,-104,,2025-02-12 12:18:47.277327
-2913,266,2647,-353,-482,202,,2025-02-12 12:18:47.317819
-3051,263,2632,-708,-2086,519,,2025-02-12 12:18:47.323484
-2677,300,2631,-893,-1748,313,,2025-02-12 12:18:47.325187
-2354,312,2543,-726,-297,-175,,2025-02-12 12:18:47.336942
-2285,217,2619,-559,1146,-458,,2025-02-12 12:18:47.353586
-2734,202,2564,-634,1055,-214,,2025-02-12 12:18:47.369636
-2980,302,2686,-806,525,-140,,2025-02-12 12:18:47.385262
-2877,309,2692,-834,316,-236,,2025-02-12 12:18:47.417931
-2853,235,2625,-688,-80,-164,,2025-02-12 12:18:47.421044
-2786,227,2642,-242,-615,-141,,2025-02-12 12:18:47.434720
-2643,364,2695,-115,-749,-153,,2025-02-12 12:18:47.452224
-2694,187,2623,-286,-1143,97,,2025-02-12 12:18:47.467537
-2370,125,2967,60,2066,-2046,,2025-02-12 12:18:47.483008
-2758,154,2487,-555,1179,-169,sitting,2025-02-12 12:18:47.500227
-3066,220,2727,-759,-636,226,sitting,2025-02-12 12:18:47.518798
-2897,271,2698,-1049,-484,206,sitting,2025-02-12 12:18:47.534244
-2635,238,2627,-634,-108,-88,sitting,2025-02-12 12:18:47.550256
-2607,293,2656,-361,-59,-73,sitting,2025-02-12 12:18:47.566910
-2631,287,2663,-330,-26,8,sitting,2025-02-12 12:18:47.582167
-2738,301,2652,-495,-98,18,sitting,2025-02-12 12:18:47.609762
-2672,295,2622,-592,-39,-90,sitting,2025-02-12 12:18:47.633870
-2577,264,2638,-366,260,-240,sitting,2025-02-12 12:18:47.636651
-2529,268,2653,-478,651,-343,sitting,2025-02-12 12:18:47.646017
-2588,324,2671,-772,1030,-313,sitting,2025-02-12 12:18:47.663929
-2751,274,2619,-683,752,-229,sitting,2025-02-12 12:18:47.679391
-2744,283,2752,-671,766,-184,sitting,2025-02-12 12:18:47.698999
-2818,213,2579,-469,330,-225,sitting,2025-02-12 12:18:47.710430
