acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-2848,113,2616,-694,29,274,,2025-02-12 12:10:54.308990
-2803,99,2559,-980,216,317,,2025-02-12 12:10:54.331836
-2754,16,2469,-1041,297,339,,2025-02-12 12:10:54.334163
-2718,-31,2517,-933,252,461,,2025-02-12 12:10:54.351058
-2773,-20,2591,-879,479,502,,2025-02-12 12:10:54.374464
-2785,130,2633,-940,885,417,,2025-02-12 12:10:54.381537
-2786,238,2647,-1259,1167,461,,2025-02-12 12:10:54.402450
-2849,217,2545,-1486,1055,494,,2025-02-12 12:10:54.428143
-2885,238,2351,-1584,576,472,,2025-02-12 12:10:54.429658
-2902,162,2303,-1497,44,458,,2025-02-12 12:10:54.448424
-2956,144,2373,-1419,-437,461,,2025-02-12 12:10:54.463642
-2961,120,2475,-1478,-825,431,,2025-02-12 12:10:54.494746
-2884,128,2521,-1513,-1003,311,,2025-02-12 12:10:54.497233
-2808,93,2529,-1501,-931,243,,2025-02-12 12:10:54.520505
-2747,101,2590,-1392,-690,290,,2025-02-12 12:10:54.532419
-2763,87,2573,-1379,-394,357,,2025-02-12 12:10:54.549026
-2812,82,2532,-1377,-180,265,,2025-02-12 12:10:54.567170
-2838,91,2552,-1237,-287,251,,2025-02-12 12:10:54.581368
-2814,89,2533,-1106,-383,203,,2025-02-12 12:10:54.609527
-2777,86,2551,-1054,-297,121,,2025-02-12 12:10:54.629229
-2749,89,2526,-998,-235,172,,2025-02-12 12:10:54.630580
-2774,58,2541,-1014,-148,152,,2025-02-12 12:10:54.647114
-2883,87,2539,-958,-110,-53,,2025-02-12 12:10:54.673612
-2860,29,2508,-815,-303,-151,,2025-02-12 12:10:54.685270
-2811,9,2508,-665,-585,-184,,2025-02-12 12:10:54.699995
-2708,28,2586,-577,-605,-119,,2025-02-12 12:10:54.735388
-2678,58,2655,-631,-168,-144,,2025-02-12 12:10:54.738189
-2702,67,2641,-643,313,-219,,2025-02-12 12:10:54.751574
-2791,82,2565,-622,236,-292,,2025-02-12 12:10:54.767922
-2866,74,2586,-565,-352,-293,,2025-02-12 12:10:54.789034
-2881,80,2553,-592,-638,-228,,2025-02-12 12:10:54.805293
-2835,4,2522,-582,-706,-234,,2025-02-12 12:10:54.821384
-2763,10,2570,-428,-263,-392,,2025-02-12 12:10:54.879831
-2691,41,2588,-334,47,-283,,2025-02-12 12:10:54.882755
-2697,97,2555,-290,-214,-115,,2025-02-12 12:10:54.884490
-2712,104,2553,-274,-399,-20,,2025-02-12 12:10:54.885810
-2739,89,2524,-387,-509,50,,2025-02-12 12:10:54.899711
-2794,114,2573,-493,-718,29,,2025-02-12 12:10:54.915362
-2783,156,2608,-513,-987,-11,,2025-02-12 12:10:54.939774
-2732,164,2628,-545,-1035,-57,,2025-02-12 12:10:54.945281
-2714,138,2647,-432,-849,-196,,2025-02-12 12:10:54.969833
-2661,121,2799,-311,-276,-297,,2025-02-12 12:10:54.981355
-2596,196,2839,-410,545,-284,,2025-02-12 12:10:55.014780
-2644,151,2736,-578,1179,-286,,2025-02-12 12:10:55.017726
-2726,101,2578,-590,1166,-276,,2025-02-12 12:10:55.031189
-2767,104,2555,-680,865,-220,,2025-02-12 12:10:55.079998
-2772,122,2555,-781,428,-168,,2025-02-12 12:10:55.085316
-2727,149,2579,-751,162,-173,,2025-02-12 12:10:55.086558
-2709,116,2633,-693,317,-211,,2025-02-12 12:10:55.092527
-2687,132,2651,-649,319,-203,,2025-02-12 12:10:55.110259
-2683,94,2600,-618,357,-199,,2025-02-12 12:10:55.158261
-2767,78,2544,-569,375,-182,,2025-02-12 12:10:55.159396
-2822,42,2538,-588,316,-264,,2025-02-12 12:10:55.160323
-2891,73,2546,-563,110,-307,,2025-02-12 12:10:55.176871
-2803,36,2567,-511,-412,-239,,2025-02-12 12:10:55.192222
-2706,72,2586,-475,-603,-153,,2025-02-12 12:10:55.210626
-2707,80,2644,-455,-575,-149,,2025-02-12 12:10:55.227475
-2680,62,2655,-467,-462,-160,,2025-02-12 12:10:55.242697
-2721,36,2618,-505,-336,-170,,2025-02-12 12:10:55.259064
-2700,2,2630,-455,-217,-210,,2025-02-12 12:10:55.275761
-2681,32,2666,-346,-203,-248,,2025-02-12 12:10:55.293767
-2678,65,2716,-248,72,-207,,2025-02-12 12:10:55.310288
-2687,69,2728,-322,301,-225,,2025-02-12 12:10:55.325724
-2679,98,2706,-410,596,-259,,2025-02-12 12:10:55.341884
-2686,99,2717,-508,864,-245,,2025-02-12 12:10:55.359310
-2702,58,2599,-640,975,-187,,2025-02-12 12:10:55.377495
-2723,58,2521,-713,992,-167,,2025-02-12 12:10:55.391635
-2710,23,2490,-526,1022,-224,,2025-02-12 12:10:55.406759
-2838,88,2611,-380,121,-180,,2025-02-12 12:10:55.461897
-2783,142,2673,-388,-384,-168,,2025-02-12 12:10:55.464458
-2710,123,2682,-531,-411,-106,,2025-02-12 12:10:55.465845
-2637,127,2632,-634,-210,-142,,2025-02-12 12:10:55.470029
-2636,147,2668,-549,557,-204,,2025-02-12 12:10:55.498166
-2788,162,2651,-477,960,-257,,2025-02-12 12:10:55.506489
-2844,130,2590,-434,677,-320,,2025-02-12 12:10:55.522635
-2841,125,2611,-523,4,-243,,2025-02-12 12:10:55.537365
-2779,83,2611,-639,-436,-167,,2025-02-12 12:10:55.553499
-2673,84,2588,-732,-573,-55,,2025-02-12 12:10:55.569378
-2685,102,2602,-731,-569,-33,,2025-02-12 12:10:55.587227
-2697,94,2667,-726,-154,-208,,2025-02-12 12:10:55.607188
-2697,82,2638,-676,162,-299,,2025-02-12 12:10:55.623008
-2734,92,2596,-628,260,-258,,2025-02-12 12:10:55.636915
-2769,79,2586,-598,91,-196,,2025-02-12 12:10:55.671723
-2773,82,2547,-626,-160,-173,,2025-02-12 12:10:55.672571
-2816,64,2557,-615,-247,-132,,2025-02-12 12:10:55.689955
-2863,44,2555,-610,-695,-4,,2025-02-12 12:10:55.703279
-2805,47,2612,-664,-979,101,,2025-02-12 12:10:55.719868
-2730,53,2658,-713,-967,119,,2025-02-12 12:10:55.758238
-2688,55,2615,-794,-842,90,,2025-02-12 12:10:55.791475
-2646,48,2590,-777,-665,-15,,2025-02-12 12:10:55.799925
-2658,60,2632,-761,-464,-104,,2025-02-12 12:10:55.801335
-2659,90,2650,-678,-355,-188,,2025-02-12 12:10:55.803600
-2676,158,2692,-639,-151,-255,,2025-02-12 12:10:55.820146
-2689,124,2661,-583,52,-340,,2025-02-12 12:10:55.834636
-2718,137,2682,-486,133,-358,,2025-02-12 12:10:55.851528
-2682,115,2624,-456,62,-336,,2025-02-12 12:10:55.865988
