acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-3738,-36,-1805,7819,-725,-2635,,2025-02-12 12:04:19.948229
-3687,250,-1660,7900,-560,-2593,,2025-02-12 12:04:19.950655
-3680,429,-1531,7786,-582,-2527,,2025-02-12 12:04:19.952348
-3663,472,-1400,7435,-715,-2561,,2025-02-12 12:04:19.964976
-3590,355,-1367,6905,-566,-2358,,2025-02-12 12:04:19.982709
-3479,248,-1350,6388,-392,-1769,,2025-02-12 12:04:19.998053
-3454,133,-1439,5954,-728,-876,,2025-02-12 12:04:20.014110
-3436,0,-1570,5948,-1321,283,,2025-02-12 12:04:20.085340
-3470,-129,-1542,6328,-1705,930,,2025-02-12 12:04:20.088255
-3534,-114,-1460,6666,-2131,1447,,2025-02-12 12:04:20.089278
-3595,-167,-1474,6936,-3051,1837,,2025-02-12 12:04:20.091540
-3566,-196,-1614,7354,-3736,2295,,2025-02-12 12:04:20.097215
-3488,-146,-1580,7601,-4057,2598,,2025-02-12 12:04:20.112863
-3327,8,-1562,7833,-4508,2515,,2025-02-12 12:04:20.123001
-2994,280,-1456,8380,-4292,2550,,2025-02-12 12:04:20.140882
-2861,521,-1146,8645,-3416,2615,,2025-02-12 12:04:20.163349
-2928,647,-974,8315,-2425,2759,,2025-02-12 12:04:20.174588
-3073,578,-1068,8061,-1983,2726,,2025-02-12 12:04:20.193228
-3223,419,-1140,7901,-1639,2754,,2025-02-12 12:04:20.214897
-3314,356,-1188,7730,-939,2836,,2025-02-12 12:04:20.227044
-3467,237,-1233,7663,120,3006,,2025-02-12 12:04:20.241919
-3639,195,-1175,7658,801,3112,,2025-02-12 12:04:20.257910
-3877,146,-1187,7386,656,3077,,2025-02-12 12:04:20.274083
-3950,180,-1304,6875,-298,2959,,2025-02-12 12:04:20.310962
-3951,203,-1468,6546,-1073,2806,,2025-02-12 12:04:20.314883
-3854,381,-1451,6300,-1362,2717,,2025-02-12 12:04:20.327088
-3724,585,-1357,5958,-578,2683,,2025-02-12 12:04:20.340032
-3748,636,-1271,5757,441,2714,,2025-02-12 12:04:20.369763
