acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,confidence
-3458,93,1585,-931,-476,-284,2025-02-12 10:05:33.811097,walking,{'walking': 1.0}
-3368,56,1628,-1151,-33,-532,2025-02-12 10:05:33.849749,walking,{'walking': 1.0}
-3381,-66,1576,-1218,149,-307,2025-02-12 10:05:33.884449,walking,{'walking': 1.0}
-3556,5,1677,-1552,-448,-44,2025-02-12 10:05:33.907478,walking,{'walking': 1.0}
-3598,77,1555,-1773,-852,-246,2025-02-12 10:05:33.938770,walking,{'walking': 1.0}
-3574,-42,1505,-1296,-1242,-333,2025-02-12 10:05:33.961950,walking,{'walking': 1.0}
-3524,-85,1545,-908,-1795,157,2025-02-12 10:05:33.988429,walking,{'walking': 1.0}
-3524,-173,1587,-756,-1841,204,2025-02-12 10:05:34.020792,walking,{'walking': 1.0}
-3208,-180,1558,-697,-587,-554,2025-02-12 10:05:34.041598,walking,{'walking': 1.0}
-2913,-221,1593,-658,781,-922,2025-02-12 10:05:34.076227,walking,{'walking': 1.0}
-3083,-149,1625,-923,1997,-1074,2025-02-12 10:05:34.112278,walking,{'walking': 1.0}
-3473,-88,1527,-1833,1915,-950,2025-02-12 10:05:34.151071,walking,{'walking': 1.0}
-3185,-144,1747,-1864,4047,-1329,2025-02-12 10:05:34.171859,walking,{'walking': 1.0}
-3694,-337,1411,-1401,2359,-976,2025-02-12 10:05:34.205956,walking,{'walking': 1.0}
-3572,-209,1751,-1027,520,-1018,2025-02-12 10:05:34.279153,walking,{'walking': 1.0}
-3422,-274,1498,-973,248,-1262,2025-02-12 10:05:34.318716,walking,{'walking': 1.0}
-3142,-124,1699,-1008,2005,-1358,2025-02-12 10:05:34.341762,walking,{'walking': 1.0}
-3492,-188,1448,-504,2842,-1026,2025-02-12 10:05:34.363568,walking,{'walking': 1.0}
-3816,-3,1545,-1969,1914,-821,2025-02-12 10:05:34.388427,walking,{'walking': 1.0}
-3378,-197,1455,-2522,2164,-1480,2025-02-12 10:05:34.408388,sitting,"{'walking': 0.95, 'sitting': 0.05}"
-3362,-261,1428,-2081,2567,-1395,2025-02-12 10:05:34.429016,sitting,"{'walking': 0.9, 'sitting': 0.1}"
-3258,-154,1368,-1945,3082,-1912,2025-02-12 10:05:34.450110,sitting,"{'walking': 0.85, 'sitting': 0.15}"
-3210,-194,1272,-2108,3338,-2231,2025-02-12 10:05:34.470784,sitting,"{'walking': 0.8, 'sitting': 0.2}"
-3669,-419,1097,-553,2131,-1075,2025-02-12 10:05:34.494886,sitting,"{'walking': 0.75, 'sitting': 0.25}"
-3739,-337,1383,396,843,-515,2025-02-12 10:05:34.512427,sitting,"{'walking': 0.7, 'sitting': 0.3}"
-3772,-341,1462,497,572,-447,2025-02-12 10:05:34.538413,sitting,"{'walking': 0.65, 'sitting': 0.35}"
-4001,-354,1371,182,-493,626,2025-02-12 10:05:34.564227,sitting,"{'walking': 0.6, 'sitting': 0.4}"
-3516,-22,1658,990,1138,-644,2025-02-12 10:05:34.585437,sitting,"{'walking': 0.55, 'sitting': 0.45}"
-3421,-455,1374,306,943,261,2025-02-12 10:05:34.605754,sitting,"{'walking': 0.5, 'sitting': 0.5}"
-3684,-275,1371,79,110,130,2025-02-12 10:05:34.624519,sitting,"{'sitting': 0.55, 'walking': 0.45}"
-3415,-141,1496,-406,469,-75,2025-02-12 10:05:34.654165,sitting,"{'sitting': 0.6, 'walking': 0.4}"
-3428,-168,1322,-926,790,-45,2025-02-12 10:05:34.674997,sitting,"{'sitting': 0.65, 'walking': 0.35}"
-3552,-329,1149,88,805,-78,2025-02-12 10:05:34.694262,sitting,"{'sitting': 0.7, 'walking': 0.3}"
-3548,-310,1211,1416,-191,256,2025-02-12 10:05:34.712750,sitting,"{'sitting': 0.75, 'walking': 0.25}"
-3749,-217,1344,2030,-1461,670,2025-02-12 10:05:34.739420,sitting,"{'sitting': 0.8, 'walking': 0.2}"
-3794,-125,1317,1991,-2494,836,2025-02-12 10:05:34.758136,sitting,"{'sitting': 0.85, 'walking': 0.15}"
-3824,-214,1350,2642,-2799,1011,2025-02-12 10:05:34.779362,sitting,"{'sitting': 0.9, 'walking': 0.1}"
