acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,confidence
-2407,-985,2792,-747,92,-157,2025-02-12 10:08:09.657035,walking,{'walking': 1.0}
-2359,-980,2776,-663,130,-122,2025-02-12 10:08:09.690045,walking,{'walking': 1.0}
-2332,-988,2776,-637,177,-83,2025-02-12 10:08:09.710426,walking,{'walking': 1.0}
-2365,-999,2777,-609,264,-49,2025-02-12 10:08:09.731445,walking,{'walking': 1.0}
-2345,-1021,2773,-519,429,2,2025-02-12 10:08:09.751406,walking,{'walking': 1.0}
-2339,-1041,2751,-377,641,90,2025-02-12 10:08:09.772015,walking,{'walking': 1.0}
-2375,-1014,2799,-365,649,189,2025-02-12 10:08:09.794733,walking,{'walking': 1.0}
-2391,-979,2793,-443,564,281,2025-02-12 10:08:09.813761,walking,{'walking': 1.0}
-2447,-1014,2791,-438,637,237,2025-02-12 10:08:09.830096,walking,{'walking': 1.0}
-2445,-1006,2775,-381,574,145,2025-02-12 10:08:09.856386,walking,{'walking': 1.0}
-2440,-974,2784,-348,487,121,2025-02-12 10:08:09.876894,walking,{'walking': 1.0}
-2437,-935,2791,-381,330,105,2025-02-12 10:08:09.894805,walking,{'walking': 1.0}
-2457,-922,2806,-521,270,58,2025-02-12 10:08:09.912878,walking,{'walking': 1.0}
-2459,-910,2807,-676,142,-33,2025-02-12 10:08:09.931482,walking,{'walking': 1.0}
-2514,-944,2754,-719,57,-171,2025-02-12 10:08:09.951984,walking,{'walking': 1.0}
-2459,-997,2747,-688,93,-267,2025-02-12 10:08:09.963736,walking,{'walking': 1.0}
-2360,-965,2727,-618,232,-152,2025-02-12 10:08:09.989727,walking,{'walking': 1.0}
-2357,-924,2780,-718,460,53,2025-02-12 10:08:10.008497,walking,{'walking': 1.0}
-2423,-979,2800,-841,490,147,2025-02-12 10:08:10.028097,walking,{'walking': 1.0}
-2445,-1018,2757,-882,447,93,2025-02-12 10:08:10.046208,laying,"{'walking': 0.95, 'laying': 0.05}"
-2505,-1016,2728,-740,199,-94,2025-02-12 10:08:10.066978,laying,"{'walking': 0.9, 'laying': 0.1}"
-2478,-990,2733,-505,126,-274,2025-02-12 10:08:10.085473,laying,"{'walking': 0.85, 'laying': 0.15}"
-2397,-927,2806,-481,208,-270,2025-02-12 10:08:10.106438,laying,"{'walking': 0.8, 'laying': 0.2}"
-2330,-898,2804,-542,380,0,2025-02-12 10:08:10.124324,laying,"{'walking': 0.75, 'laying': 0.25}"
-2361,-929,2740,-615,553,245,2025-02-12 10:08:10.143764,laying,"{'walking': 0.7, 'laying': 0.3}"
-2480,-980,2705,-592,589,212,2025-02-12 10:08:10.159921,laying,"{'walking': 0.65, 'laying': 0.35}"
-2543,-966,2761,-549,357,-5,2025-02-12 10:08:10.179234,laying,"{'walking': 0.6, 'laying': 0.4}"
-2520,-966,2770,-551,-4,-218,2025-02-12 10:08:10.197290,laying,"{'walking': 0.55, 'laying': 0.45}"
-2438,-957,2788,-639,-18,-271,2025-02-12 10:08:10.216955,laying,"{'walking': 0.5, 'laying': 0.5}"
-2357,-962,2758,-631,179,-207,2025-02-12 10:08:10.234935,laying,"{'laying': 0.55, 'walking': 0.45}"
-2347,-962,2698,-502,318,60,2025-02-12 10:08:10.255377,laying,"{'laying': 0.6, 'walking': 0.4}"
-2398,-949,2716,-409,402,211,2025-02-12 10:08:10.274145,laying,"{'laying': 0.65, 'walking': 0.35}"
-2483,-992,2743,-374,427,121,2025-02-12 10:08:10.295029,laying,"{'laying': 0.7, 'walking': 0.3}"
-2509,-957,2748,-385,296,-130,2025-02-12 10:08:10.331990,laying,"{'laying': 0.75, 'walking': 0.25}"
-2455,-966,2745,-406,279,-224,2025-02-12 10:08:10.392974,laying,"{'laying': 0.8, 'walking': 0.2}"
-2390,-929,2761,-413,257,-72,2025-02-12 10:08:10.421162,laying,"{'laying': 0.85, 'walking': 0.15}"
-2424,-935,2784,-508,250,99,2025-02-12 10:08:10.442720,laying,"{'laying': 0.9, 'walking': 0.1}"
-2436,-926,2795,-620,271,133,2025-02-12 10:08:10.461520,laying,"{'laying': 0.95, 'walking': 0.05}"
-2486,-945,2737,-611,214,39,2025-02-12 10:08:10.481251,laying,{'laying': 1.0}
-2487,-978,2742,-559,124,-85,2025-02-12 10:08:10.497709,laying,{'laying': 1.0}
-2477,-945,2740,-470,51,-147,2025-02-12 10:08:10.523087,laying,{'laying': 1.0}
-2468,-939,2747,-446,13,-129,2025-02-12 10:08:10.542186,laying,{'laying': 1.0}
-2476,-931,2768,-558,-5,-106,2025-02-12 10:08:10.559476,laying,{'laying': 1.0}
-2448,-879,2812,-734,-9,-95,2025-02-12 10:08:10.576930,laying,{'laying': 1.0}
-2448,-903,2788,-916,-8,-43,2025-02-12 10:08:10.594096,laying,{'laying': 1.0}
-2446,-936,2730,-1059,5,-32,2025-02-12 10:08:10.612729,laying,{'laying': 1.0}
-2459,-956,2716,-952,-25,-109,2025-02-12 10:08:10.630548,laying,{'laying': 1.0}
-2463,-1016,2748,-831,-12,-194,2025-02-12 10:08:10.646265,laying,{'laying': 1.0}
-2438,-997,2750,-707,-93,-149,2025-02-12 10:08:10.664353,laying,{'laying': 1.0}
-2373,-967,2776,-648,94,-132,2025-02-12 10:08:10.690018,laying,{'laying': 1.0}
-2408,-973,2775,-679,218,-83,2025-02-12 10:08:10.708842,laying,{'laying': 1.0}
-2423,-962,2783,-689,231,-26,2025-02-12 10:08:10.728972,laying,{'laying': 1.0}
-2425,-968,2777,-667,318,2,2025-02-12 10:08:10.747048,laying,{'laying': 1.0}
-2454,-947,2739,-569,274,-51,2025-02-12 10:08:10.764296,laying,{'laying': 1.0}
-2481,-973,2733,-438,155,-90,2025-02-12 10:08:10.791819,laying,{'laying': 1.0}
