acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,confidence
-3746,34,789,-582,128,-121,2025-02-12 09:46:52.835966,walking,{'walking': 1.0}
-3728,9,806,-618,101,-119,2025-02-12 09:46:52.877788,walking,{'walking': 1.0}
-3729,12,843,-614,140,-143,2025-02-12 09:46:52.899786,walking,{'walking': 1.0}
-3713,7,830,-610,160,-136,2025-02-12 09:46:52.921783,walking,{'walking': 1.0}
-3717,4,837,-630,171,-133,2025-02-12 09:46:52.944788,walking,{'walking': 1.0}
-3717,12,846,-604,150,-126,2025-02-12 09:46:52.967784,walking,{'walking': 1.0}
-3684,35,831,-597,169,-116,2025-02-12 09:46:52.986785,walking,{'walking': 1.0}
-3703,-10,843,-625,177,-135,2025-02-12 09:46:53.013796,walking,{'walking': 1.0}
-3693,-3,831,-622,181,-135,2025-02-12 09:46:53.039787,walking,{'walking': 1.0}
-3733,14,851,-611,154,-123,2025-02-12 09:46:53.065790,walking,{'walking': 1.0}
-3707,24,857,-632,112,-112,2025-02-12 09:46:53.088783,walking,{'walking': 1.0}
-3720,17,873,-635,89,-117,2025-02-12 09:46:53.115788,walking,{'walking': 1.0}
-3708,9,819,-604,38,-115,2025-02-12 09:46:53.139788,walking,{'walking': 1.0}
-3703,7,791,-553,63,-105,2025-02-12 09:46:53.161788,walking,{'walking': 1.0}
-3688,31,828,-548,122,-113,2025-02-12 09:46:53.184792,walking,{'walking': 1.0}
-3700,55,818,-586,183,-120,2025-02-12 09:46:53.206786,walking,{'walking': 1.0}
-3713,4,806,-590,192,-112,2025-02-12 09:46:53.233786,walking,{'walking': 1.0}
-3744,32,817,-619,203,-93,2025-02-12 09:46:53.254787,walking,{'walking': 1.0}
-3733,22,821,-589,161,-96,2025-02-12 09:46:53.276788,walking,{'walking': 1.0}
-3728,-5,856,-620,199,-105,2025-02-12 09:46:53.297787,sitting,"{'walking': 0.95, 'sitting': 0.05}"
-3735,15,821,-614,133,-93,2025-02-12 09:46:53.329114,sitting,"{'walking': 0.9, 'sitting': 0.1}"
-3720,7,847,-615,100,-119,2025-02-12 09:46:53.350113,sitting,"{'walking': 0.85, 'sitting': 0.15}"
-3723,23,858,-637,109,-103,2025-02-12 09:46:53.369110,sitting,"{'walking': 0.8, 'sitting': 0.2}"
-3755,36,831,-636,55,-137,2025-02-12 09:46:53.391113,sitting,"{'walking': 0.75, 'sitting': 0.25}"
-3686,38,843,-666,50,-126,2025-02-12 09:46:53.414118,sitting,"{'walking': 0.7, 'sitting': 0.3}"
-3700,14,784,-629,89,-135,2025-02-12 09:46:53.433118,sitting,"{'walking': 0.65, 'sitting': 0.35}"
-3708,-1,853,-601,121,-143,2025-02-12 09:46:53.453114,sitting,"{'walking': 0.6, 'sitting': 0.4}"
-3736,24,826,-588,158,-169,2025-02-12 09:46:53.474112,sitting,"{'walking': 0.55, 'sitting': 0.45}"
-3703,3,861,-589,101,-154,2025-02-12 09:46:53.495117,sitting,"{'walking': 0.5, 'sitting': 0.5}"
-3711,14,847,-573,-9,-128,2025-02-12 09:46:53.518114,sitting,"{'sitting': 0.55, 'walking': 0.45}"
-3695,35,839,-616,-35,-82,2025-02-12 09:46:53.541110,sitting,"{'sitting': 0.6, 'walking': 0.4}"
-3704,7,836,-615,9,-48,2025-02-12 09:46:53.565119,sitting,"{'sitting': 0.65, 'walking': 0.35}"
-3695,21,809,-610,63,11,2025-02-12 09:46:53.586114,sitting,"{'sitting': 0.7, 'walking': 0.3}"
-3734,11,783,-620,92,-11,2025-02-12 09:46:53.609115,sitting,"{'sitting': 0.75, 'walking': 0.25}"
-3738,14,786,-632,51,5,2025-02-12 09:46:53.631919,sitting,"{'sitting': 0.8, 'walking': 0.2}"
